EAR,MAR,TIME
0.21691009949924714,2.2790780601697103,21:22:12.664458
0.21691009949924714,2.2790780601697103,21:22:12.664458
0.21691009949924714,2.2790780601697103,21:22:12.664458
0.21691009949924714,2.2790780601697103,21:22:12.664458
0.21691009949924714,2.2790780601697103,21:22:12.664458
0.21691009949924714,2.2790780601697103,21:22:12.664458
0.21691009949924714,2.2790780601697103,21:22:12.664458
0.21691009949924714,2.2790780601697103,21:22:12.664458
0.20616519009370474,1.700191543143492,21:22:25.616059
0.21691009949924714,2.2790780601697103,21:22:12.664458
0.20616519009370474,1.700191543143492,21:22:25.616059
0.21691009949924714,2.2790780601697103,21:22:12.664458
0.20616519009370474,1.700191543143492,21:22:25.616059
0.21691009949924714,2.2790780601697103,21:22:12.664458
0.20616519009370474,1.700191543143492,21:22:25.616059
0.21691009949924714,2.2790780601697103,21:22:12.664458
0.20616519009370474,1.700191543143492,21:22:25.616059
0.24106822196674849,0.7503885367002778,21:22:38.105396
0.21691009949924714,2.2790780601697103,21:22:12.664458
0.20616519009370474,1.700191543143492,21:22:25.616059
0.24106822196674849,0.7503885367002778,21:22:38.105396
0.21691009949924714,2.2790780601697103,21:22:12.664458
0.20616519009370474,1.700191543143492,21:22:25.616059
0.24106822196674849,0.7503885367002778,21:22:38.105396
0.21691009949924714,2.2790780601697103,21:22:12.664458
0.20616519009370474,1.700191543143492,21:22:25.616059
0.24106822196674849,0.7503885367002778,21:22:38.105396
